iter	Passed	Remaining
0	1	184
1	3	169
2	5	164
3	6	157
4	8	154
5	9	151
6	11	155
7	13	156
8	15	153
9	16	150
10	18	147
11	19	145
12	21	143
13	23	142
14	24	140
15	27	143
16	29	144
17	31	141
18	32	138
19	33	134
20	34	131
21	36	128
22	37	125
23	38	123
24	40	120
25	41	117
26	42	114
27	43	110
28	44	107
29	44	104
30	45	102
31	46	99
32	47	96
33	48	94
34	49	91
35	50	89
36	51	86
37	51	84
38	52	82
39	53	80
40	54	78
41	55	76
42	55	73
43	56	71
44	57	70
45	58	68
46	58	66
47	59	64
48	60	62
49	60	60
50	61	59
51	62	57
52	63	56
53	63	54
54	64	52
55	65	51
56	67	50
57	68	49
58	69	48
59	70	47
60	71	45
61	73	44
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	93	24
79	94	23
80	95	22
81	96	21
82	96	19
83	97	18
84	98	17
85	99	16
86	99	14
87	100	13
88	101	12
89	102	11
90	102	10
91	103	9
92	104	7
93	104	6
94	105	5
95	106	4
96	107	3
97	107	2
98	108	1
99	109	0
