iter	Passed	Remaining
0	260	260009
1	261	130578
2	263	87406
3	264	65911
4	266	52941
5	267	44305
6	268	38150
7	270	33530
8	273	30065
9	275	27311
10	277	24951
11	279	22971
12	280	21310
13	282	19875
14	283	18635
15	333	20480
16	344	19926
17	346	18883
18	347	17948
19	349	17130
20	353	16476
21	355	15808
22	358	15212
23	359	14625
24	361	14085
25	362	13595
26	372	13430
27	387	13454
28	392	13139
29	440	14257
30	442	13837
31	446	13498
32	449	13157
33	450	12802
34	452	12472
35	456	12232
36	488	12722
37	494	12522
38	496	12231
39	498	11960
40	499	11689
41	508	11588
42	517	11508
43	527	11470
44	529	11234
45	541	11221
46	544	11040
47	545	10828
48	548	10641
49	551	10485
50	553	10302
51	555	10121
52	556	9947
53	558	9785
54	561	9654
55	563	9497
56	627	10376
57	629	10221
58	630	10061
59	632	9907
60	633	9755
61	635	9609
62	636	9467
63	638	9331
64	643	9263
65	645	9133
66	647	9014
67	649	8898
68	651	8788
69	667	8867
70	668	8753
71	675	8700
72	677	8599
73	680	8510
74	682	8417
75	685	8340
76	687	8244
77	690	8165
78	692	8072
79	719	8275
80	721	8189
81	723	8099
82	724	8004
83	734	8009
84	739	7958
85	743	7904
86	746	7838
87	751	7785
88	754	7719
89	763	7718
90	764	7636
91	765	7555
92	766	7475
93	767	7398
94	768	7322
95	769	7247
96	775	7215
97	776	7143
98	777	7074
99	778	7005
100	779	6938
101	780	6872
102	781	6808
103	783	6746
104	784	6683
105	787	6638
106	790	6600
107	791	6541
108	793	6483
109	794	6426
110	795	6371
111	796	6316
112	797	6260
113	798	6206
114	802	6177
115	804	6133
116	807	6095
117	808	6046
118	809	5995
119	810	5945
120	811	5895
121	812	5845
122	813	5797
123	813	5750
124	820	5740
125	824	5717
126	825	5671
127	826	5630
128	827	5587
129	828	5544
130	829	5501
131	832	5477
132	840	5479
133	841	5437
134	842	5397
135	843	5356
136	844	5321
137	855	5341
138	856	5305
139	858	5274
140	861	5245
141	865	5229
142	868	5204
143	870	5172
144	871	5140
145	873	5108
146	882	5120
147	884	5091
148	886	5064
149	888	5032
150	889	5000
151	892	4978
152	894	4954
